Year,MF,OF,MNU,ONU,MF_Smoothed,OF_Smoothed,MNU_Smoothed,ONU_Smoothed
200901,1,0,1,0,1.0,0.0,1.0,0.0
200902,1,0,0,0,1.0,0.0,0.0,0.0
200903,1,1,0,1,1.0,1.0,0.0,1.0
200904,2,4,0,2,2.0,4.0,0.0,2.0
200905,2,4,0,3,2.0,4.0,0.0,3.0
200906,8,0,0,4,5.0,0.0,0.0,4.0
200907,3,1,1,0,3.0,1.0,1.0,0.0
200908,4,4,0,1,4.0,4.0,0.0,1.0
200909,3,3,0,3,3.0,3.0,0.0,3.0
200910,2,2,0,0,2.0,2.0,0.0,0.0
200911,4,4,0,2,4.0,4.0,0.0,2.0
200912,2,0,0,0,2.0,0.0,0.0,0.0
201001,5,1,0,2,5.0,1.0,0.0,2.0
201002,3,5,0,0,3.0,5.0,0.0,0.0
201003,4,0,0,0,4.0,0.0,0.0,0.0
201004,0,3,0,0,0.0,3.0,0.0,0.0
201005,3,0,0,0,3.0,0.0,0.0,0.0
201006,1,0,0,0,1.0,0.0,0.0,0.0
201007,1,0,0,0,1.0,0.0,0.0,0.0
201008,0,0,0,0,0.0,0.0,0.0,0.0
201009,7,0,1,0,3.5,0.0,1.0,0.0
201010,2,0,0,0,2.0,0.0,0.0,0.0
201011,2,0,0,3,2.0,0.0,0.0,3.0
201012,2,1,1,0,2.0,1.0,1.0,0.0
201101,2,1,0,0,2.0,1.0,0.0,0.0
201102,2,3,0,2,2.0,3.0,0.0,2.0
201103,8,0,1,0,5.0,0.0,1.0,0.0
201104,3,2,0,0,3.0,2.0,0.0,0.0
201105,2,0,1,0,2.0,0.0,1.0,0.0
201106,1,1,0,1,1.0,1.0,0.0,1.0
201107,7,4,0,3,4.0,4.0,0.0,3.0
201108,2,0,0,0,2.0,0.0,0.0,0.0
201109,1,0,0,0,1.0,0.0,0.0,0.0
201110,2,0,0,0,2.0,0.0,0.0,0.0
201111,2,0,0,0,2.0,0.0,0.0,0.0
201112,3,2,0,1,3.0,2.0,0.0,1.0
201201,5,1,0,1,5.0,1.0,0.0,1.0
201202,2,1,0,1,2.0,1.0,0.0,1.0
201203,4,2,2,1,4.0,2.0,1.0,1.0
201204,5,5,2,0,5.0,5.0,2.0,0.0
201205,4,1,1,0,4.0,1.0,1.0,0.0
201206,0,0,0,0,0.0,0.0,0.0,0.0
201207,3,0,0,0,3.0,0.0,0.0,0.0
201208,5,1,0,0,5.0,1.0,0.0,0.0
201209,5,0,0,0,5.0,0.0,0.0,0.0
201210,3,0,0,0,3.0,0.0,0.0,0.0
201211,3,0,0,0,3.0,0.0,0.0,0.0
201212,5,0,1,1,5.0,0.0,1.0,1.0
201301,0,1,0,0,0.0,1.0,0.0,0.0
201302,0,0,0,0,0.0,0.0,0.0,0.0
201303,0,0,0,0,0.0,0.0,0.0,0.0
201304,6,0,0,0,6.0,0.0,0.0,0.0
201305,0,0,0,0,0.0,0.0,0.0,0.0
201306,0,0,0,0,0.0,0.0,0.0,0.0
201307,5,0,0,1,5.0,0.0,0.0,1.0
201308,1,1,1,0,1.0,1.0,1.0,0.0
201309,1,1,0,0,1.0,1.0,0.0,0.0
201310,5,2,0,2,5.0,2.0,0.0,2.0
201311,0,2,0,1,0.0,2.0,0.0,1.0
201312,0,0,0,0,0.0,0.0,0.0,0.0
201401,1,0,1,0,1.0,0.0,1.0,0.0
201402,1,1,0,1,1.0,1.0,0.0,1.0
201403,7,0,1,0,4.0,0.0,1.0,0.0
201404,0,0,0,0,0.0,0.0,0.0,0.0
201405,0,0,0,0,0.0,0.0,0.0,0.0
201406,2,2,0,0,2.0,2.0,0.0,0.0
201407,2,1,0,1,2.0,1.0,0.0,1.0
201408,0,1,0,1,0.0,1.0,0.0,1.0
201409,0,0,0,0,0.0,0.0,0.0,0.0
201410,0,0,0,0,0.0,0.0,0.0,0.0
201411,2,0,0,0,2.0,0.0,0.0,0.0
201412,1,0,0,0,1.0,0.0,0.0,0.0
201501,1,0,0,3,1.0,0.0,0.0,3.0
201502,0,0,0,2,0.0,0.0,0.0,2.0
201503,0,2,0,1,0.0,2.0,0.0,1.0
201504,0,0,0,0,0.0,0.0,0.0,0.0
201505,0,0,0,0,0.0,0.0,0.0,0.0
201506,0,0,0,0,0.0,0.0,0.0,0.0
201507,0,0,0,2,0.0,0.0,0.0,2.0
201508,0,0,0,0,0.0,0.0,0.0,0.0
201509,0,0,0,0,0.0,0.0,0.0,0.0
201510,1,1,0,2,1.0,1.0,0.0,2.0
201511,0,0,0,0,0.0,0.0,0.0,0.0
201512,2,0,1,4,2.0,0.0,1.0,4.0
201601,4,0,1,0,4.0,0.0,1.0,0.0
201602,0,4,0,2,0.0,4.0,0.0,2.0
201603,1,2,0,3,1.0,2.0,0.0,3.0
201604,1,4,1,6,1.0,4.0,1.0,4.5
201605,1,0,1,0,1.0,0.0,1.0,0.0
201606,4,2,1,2,4.0,2.0,1.0,2.0
201607,4,1,0,2,4.0,1.0,0.0,2.0
201608,2,5,0,3,2.0,5.0,0.0,3.0
201609,0,3,0,2,0.0,3.0,0.0,2.0
201610,1,2,1,1,1.0,2.0,1.0,1.0
201611,2,0,1,4,2.0,0.0,1.0,4.0
201612,4,1,0,3,4.0,1.0,0.0,3.0
201701,3,1,3,3,3.0,1.0,1.5,3.0
201702,1,0,1,1,1.0,0.0,1.0,1.0
201703,0,3,0,3,0.0,3.0,0.0,3.0
201704,0,1,0,1,0.0,1.0,0.0,1.0
201705,0,5,0,4,0.0,5.0,0.0,4.0
201706,2,1,0,1,2.0,1.0,0.0,1.0
201707,4,1,1,3,4.0,1.0,1.0,3.0
201708,0,2,0,2,0.0,2.0,0.0,2.0
201709,5,0,2,2,5.0,0.0,1.0,2.0
201710,0,4,0,2,0.0,4.0,0.0,2.0
201711,0,0,0,0,0.0,0.0,0.0,0.0
201712,3,2,3,1,3.0,2.0,1.5,1.0
201801,1,3,0,2,1.0,3.0,0.0,2.0
201802,0,3,0,3,0.0,3.0,0.0,3.0
201803,0,0,0,1,0.0,0.0,0.0,1.0
201804,1,5,1,3,1.0,5.0,1.0,3.0
201805,1,0,1,1,1.0,0.0,1.0,1.0
201806,0,2,0,1,0.0,2.0,0.0,1.0
201807,1,1,0,2,1.0,1.0,0.0,2.0
201808,3,3,0,1,3.0,3.0,0.0,1.0
201809,3,2,1,1,3.0,2.0,1.0,1.0
201810,2,3,1,1,2.0,3.0,1.0,1.0
201811,1,1,0,1,1.0,1.0,0.0,1.0
201812,2,1,0,1,2.0,1.0,0.0,1.0
201901,0,1,0,0,0.0,1.0,0.0,0.0
201902,3,0,1,0,3.0,0.0,1.0,0.0
201903,5,0,2,1,5.0,0.0,1.5,1.0
201904,0,7,0,3,0.0,3.5,0.0,3.0
201905,2,1,2,2,2.0,1.0,1.0,2.0
201906,2,0,1,0,2.0,0.0,1.0,0.0
201907,7,1,0,1,4.5,1.0,0.0,1.0
201908,3,5,1,1,3.0,5.0,1.0,1.0
201909,6,21,1,11,6.0,13.0,1.0,6.0
201910,3,4,1,6,3.0,4.0,1.0,8.5
201911,0,5,0,3,0.0,5.0,0.0,3.0
201912,2,3,0,4,2.0,3.0,0.0,4.0
202001,7,5,0,3,4.5,5.0,0.0,3.0
202002,0,3,0,3,0.0,3.0,0.0,3.0
202003,1,0,0,0,1.0,0.0,0.0,0.0
202004,5,4,0,2,5.0,4.0,0.0,2.0
202005,1,4,0,3,1.0,4.0,0.0,3.0
202006,7,7,0,3,4.0,5.5,0.0,3.0
202007,14,7,2,7,10.5,7.0,1.0,5.0
202008,2,2,0,1,2.0,2.0,0.0,1.0
202009,4,2,2,1,4.0,2.0,1.0,1.0
202010,3,6,0,2,3.0,6.0,0.0,2.0
202011,4,5,0,2,4.0,5.0,0.0,2.0
202012,5,4,2,3,5.0,4.0,1.0,3.0
202101,0,4,0,4,0.0,4.0,0.0,4.0
202102,1,2,0,0,1.0,2.0,0.0,0.0
202103,0,6,0,1,0.0,6.0,0.0,1.0
202104,0,1,0,1,0.0,1.0,0.0,1.0
202105,4,1,0,1,4.0,1.0,0.0,1.0
202106,0,2,0,1,0.0,2.0,0.0,1.0
202107,1,0,1,1,1.0,0.0,1.0,1.0
202108,3,2,0,4,3.0,2.0,0.0,4.0
202109,1,3,0,1,1.0,3.0,0.0,1.0
202110,3,3,0,2,3.0,3.0,0.0,2.0
202111,1,1,0,1,1.0,1.0,0.0,1.0
202112,0,1,0,2,0.0,1.0,0.0,2.0
202201,0,3,0,1,0.0,3.0,0.0,1.0
202202,4,5,1,3,4.0,5.0,1.0,3.0
202203,0,0,0,1,0.0,0.0,0.0,1.0
202204,3,5,1,4,3.0,5.0,1.0,4.0
202205,3,2,0,3,3.0,2.0,0.0,3.0
202206,0,4,0,3,0.0,4.0,0.0,3.0
202207,3,7,1,7,3.0,5.5,1.0,5.0
202208,0,2,0,2,0.0,2.0,0.0,2.0
202209,1,0,0,0,1.0,0.0,0.0,0.0
202210,1,1,0,2,1.0,1.0,0.0,2.0
202211,3,1,2,1,3.0,1.0,1.0,1.0
202212,1,1,0,2,1.0,1.0,0.0,2.0
202301,0,3,0,4,0.0,3.0,0.0,4.0
202302,1,0,0,1,1.0,0.0,0.0,1.0
202303,1,1,0,1,1.0,1.0,0.0,1.0
202304,2,0,0,1,2.0,0.0,0.0,1.0
202305,1,0,0,1,1.0,0.0,0.0,1.0
202306,0,1,0,1,0.0,1.0,0.0,1.0
202307,5,1,1,0,5.0,1.0,1.0,0.0
202308,1,0,0,0,1.0,0.0,0.0,0.0
202309,0,0,0,0,0.0,0.0,0.0,0.0
202310,0,0,0,0,0.0,0.0,0.0,0.0
202311,0,0,0,0,0.0,0.0,0.0,0.0
202312,0,0,0,1,0.0,0.0,0.0,1.0
202401,3,0,0,0,3.0,0.0,0.0,0.0
